node_index,x_m
0,0.000000
1,0.150000
2,0.300000
3,0.450000
4,0.600000
5,0.750000
6,0.900000
7,1.050000
8,1.200000
9,1.350000
10,1.500000
11,1.650000
12,1.800000
13,1.950000
14,2.100000
15,2.250000
16,2.400000
17,2.550000
18,2.700000
19,2.850000
20,3.000000
21,3.150000
22,3.300000
23,3.450000
24,3.600000
25,3.750000
26,3.900000
27,4.050000
28,4.200000
29,4.350000
30,4.500000
31,4.650000
32,4.800000
33,4.950000
34,5.100000
35,5.250000
36,5.400000
37,5.550000
38,5.700000
39,5.850000
40,6.000000
41,6.150000
42,6.300000
43,6.450000
44,6.600000
45,6.750000
46,6.900000
47,7.050000
48,7.200000
49,7.350000
50,7.500000
51,7.650000
52,7.800000
53,7.950000
54,8.100000
55,8.250000
56,8.400000
57,8.550000
58,8.700000
59,8.850000
60,9.000000
61,9.150000
62,9.300000
63,9.450000
64,9.600000
65,9.750000
66,9.900000
67,10.050000
68,10.200000
69,10.350000
70,10.500000
71,10.650000
72,10.800000
73,10.950000
74,11.100000
75,11.250000
76,11.400000
77,11.550000
78,11.700000
79,11.850000
80,12.000000
81,12.150000
82,12.300000
83,12.450000
84,12.600000
85,12.750000
86,12.900000
87,13.050000
88,13.200000
89,13.350000
90,13.500000
91,13.650000
92,13.800000
93,13.950000
94,14.100000
95,14.250000
96,14.400000
97,14.550000
98,14.700000
99,14.850000
100,15.000000
