id,x_m,y_m,z_m,type
row_1_rack01_h1,2.7346,2.575,0.75,rack_inlet_temperature
row_1_rack01_h2,2.7346,2.575,1.13,rack_inlet_temperature
row_1_rack01_h3,2.7346,2.575,1.51,rack_inlet_temperature
row_1_rack02_h1,3.6038,2.575,0.75,rack_inlet_temperature
row_1_rack02_h2,3.6038,2.575,1.13,rack_inlet_temperature
row_1_rack02_h3,3.6038,2.575,1.51,rack_inlet_temperature
row_1_rack03_h1,4.4731,2.575,0.75,rack_inlet_temperature
row_1_rack03_h2,4.4731,2.575,1.13,rack_inlet_temperature
row_1_rack03_h3,4.4731,2.575,1.51,rack_inlet_temperature
row_1_rack04_h1,5.3423,2.575,0.75,rack_inlet_temperature
row_1_rack04_h2,5.3423,2.575,1.13,rack_inlet_temperature
row_1_rack04_h3,5.3423,2.575,1.51,rack_inlet_temperature
row_1_rack05_h1,6.2115,2.575,0.75,rack_inlet_temperature
row_1_rack05_h2,6.2115,2.575,1.13,rack_inlet_temperature
row_1_rack05_h3,6.2115,2.575,1.51,rack_inlet_temperature
row_1_rack06_h1,7.0808,2.575,0.75,rack_inlet_temperature
row_1_rack06_h2,7.0808,2.575,1.13,rack_inlet_temperature
row_1_rack06_h3,7.0808,2.575,1.51,rack_inlet_temperature
row_1_rack07_h1,7.95,2.575,0.75,rack_inlet_temperature
row_1_rack07_h2,7.95,2.575,1.13,rack_inlet_temperature
row_1_rack07_h3,7.95,2.575,1.51,rack_inlet_temperature
row_1_rack08_h1,8.8192,2.575,0.75,rack_inlet_temperature
row_1_rack08_h2,8.8192,2.575,1.13,rack_inlet_temperature
row_1_rack08_h3,8.8192,2.575,1.51,rack_inlet_temperature
row_1_rack09_h1,9.6885,2.575,0.75,rack_inlet_temperature
row_1_rack09_h2,9.6885,2.575,1.13,rack_inlet_temperature
row_1_rack09_h3,9.6885,2.575,1.51,rack_inlet_temperature
row_1_rack10_h1,10.5577,2.575,0.75,rack_inlet_temperature
row_1_rack10_h2,10.5577,2.575,1.13,rack_inlet_temperature
row_1_rack10_h3,10.5577,2.575,1.51,rack_inlet_temperature
row_1_rack11_h1,11.4269,2.575,0.75,rack_inlet_temperature
row_1_rack11_h2,11.4269,2.575,1.13,rack_inlet_temperature
row_1_rack11_h3,11.4269,2.575,1.51,rack_inlet_temperature
row_1_rack12_h1,12.2962,2.575,0.75,rack_inlet_temperature
row_1_rack12_h2,12.2962,2.575,1.13,rack_inlet_temperature
row_1_rack12_h3,12.2962,2.575,1.51,rack_inlet_temperature
row_1_rack13_h1,13.1654,2.575,0.75,rack_inlet_temperature
row_1_rack13_h2,13.1654,2.575,1.13,rack_inlet_temperature
row_1_rack13_h3,13.1654,2.575,1.51,rack_inlet_temperature
row_2_rack01_h1,2.7346,6.325,0.75,rack_inlet_temperature
row_2_rack01_h2,2.7346,6.325,1.13,rack_inlet_temperature
row_2_rack01_h3,2.7346,6.325,1.51,rack_inlet_temperature
row_2_rack02_h1,3.6038,6.325,0.75,rack_inlet_temperature
row_2_rack02_h2,3.6038,6.325,1.13,rack_inlet_temperature
row_2_rack02_h3,3.6038,6.325,1.51,rack_inlet_temperature
row_2_rack03_h1,4.4731,6.325,0.75,rack_inlet_temperature
row_2_rack03_h2,4.4731,6.325,1.13,rack_inlet_temperature
row_2_rack03_h3,4.4731,6.325,1.51,rack_inlet_temperature
row_2_rack04_h1,5.3423,6.325,0.75,rack_inlet_temperature
row_2_rack04_h2,5.3423,6.325,1.13,rack_inlet_temperature
row_2_rack04_h3,5.3423,6.325,1.51,rack_inlet_temperature
row_2_rack05_h1,6.2115,6.325,0.75,rack_inlet_temperature
row_2_rack05_h2,6.2115,6.325,1.13,rack_inlet_temperature
row_2_rack05_h3,6.2115,6.325,1.51,rack_inlet_temperature
row_2_rack06_h1,7.0808,6.325,0.75,rack_inlet_temperature
row_2_rack06_h2,7.0808,6.325,1.13,rack_inlet_temperature
row_2_rack06_h3,7.0808,6.325,1.51,rack_inlet_temperature
row_2_rack07_h1,7.95,6.325,0.75,rack_inlet_temperature
row_2_rack07_h2,7.95,6.325,1.13,rack_inlet_temperature
row_2_rack07_h3,7.95,6.325,1.51,rack_inlet_temperature
row_2_rack08_h1,8.8192,6.325,0.75,rack_inlet_temperature
row_2_rack08_h2,8.8192,6.325,1.13,rack_inlet_temperature
row_2_rack08_h3,8.8192,6.325,1.51,rack_inlet_temperature
row_2_rack09_h1,9.6885,6.325,0.75,rack_inlet_temperature
row_2_rack09_h2,9.6885,6.325,1.13,rack_inlet_temperature
row_2_rack09_h3,9.6885,6.325,1.51,rack_inlet_temperature
row_2_rack10_h1,10.5577,6.325,0.75,rack_inlet_temperature
row_2_rack10_h2,10.5577,6.325,1.13,rack_inlet_temperature
row_2_rack10_h3,10.5577,6.325,1.51,rack_inlet_temperature
row_2_rack11_h1,11.4269,6.325,0.75,rack_inlet_temperature
row_2_rack11_h2,11.4269,6.325,1.13,rack_inlet_temperature
row_2_rack11_h3,11.4269,6.325,1.51,rack_inlet_temperature
row_2_rack12_h1,12.2962,6.325,0.75,rack_inlet_temperature
row_2_rack12_h2,12.2962,6.325,1.13,rack_inlet_temperature
row_2_rack12_h3,12.2962,6.325,1.51,rack_inlet_temperature
row_2_rack13_h1,13.1654,6.325,0.75,rack_inlet_temperature
row_2_rack13_h2,13.1654,6.325,1.13,rack_inlet_temperature
row_2_rack13_h3,13.1654,6.325,1.51,rack_inlet_temperature
row_3_rack01_h1,2.7346,7.775,0.75,rack_inlet_temperature
row_3_rack01_h2,2.7346,7.775,1.13,rack_inlet_temperature
row_3_rack01_h3,2.7346,7.775,1.51,rack_inlet_temperature
row_3_rack02_h1,3.6038,7.775,0.75,rack_inlet_temperature
row_3_rack02_h2,3.6038,7.775,1.13,rack_inlet_temperature
row_3_rack02_h3,3.6038,7.775,1.51,rack_inlet_temperature
row_3_rack03_h1,4.4731,7.775,0.75,rack_inlet_temperature
row_3_rack03_h2,4.4731,7.775,1.13,rack_inlet_temperature
row_3_rack03_h3,4.4731,7.775,1.51,rack_inlet_temperature
row_3_rack04_h1,5.3423,7.775,0.75,rack_inlet_temperature
row_3_rack04_h2,5.3423,7.775,1.13,rack_inlet_temperature
row_3_rack04_h3,5.3423,7.775,1.51,rack_inlet_temperature
row_3_rack05_h1,6.2115,7.775,0.75,rack_inlet_temperature
row_3_rack05_h2,6.2115,7.775,1.13,rack_inlet_temperature
row_3_rack05_h3,6.2115,7.775,1.51,rack_inlet_temperature
row_3_rack06_h1,7.0808,7.775,0.75,rack_inlet_temperature
row_3_rack06_h2,7.0808,7.775,1.13,rack_inlet_temperature
row_3_rack06_h3,7.0808,7.775,1.51,rack_inlet_temperature
row_3_rack07_h1,7.95,7.775,0.75,rack_inlet_temperature
row_3_rack07_h2,7.95,7.775,1.13,rack_inlet_temperature
row_3_rack07_h3,7.95,7.775,1.51,rack_inlet_temperature
row_3_rack08_h1,8.8192,7.775,0.75,rack_inlet_temperature
row_3_rack08_h2,8.8192,7.775,1.13,rack_inlet_temperature
row_3_rack08_h3,8.8192,7.775,1.51,rack_inlet_temperature
row_3_rack09_h1,9.6885,7.775,0.75,rack_inlet_temperature
row_3_rack09_h2,9.6885,7.775,1.13,rack_inlet_temperature
row_3_rack09_h3,9.6885,7.775,1.51,rack_inlet_temperature
row_3_rack10_h1,10.5577,7.775,0.75,rack_inlet_temperature
row_3_rack10_h2,10.5577,7.775,1.13,rack_inlet_temperature
row_3_rack10_h3,10.5577,7.775,1.51,rack_inlet_temperature
row_3_rack11_h1,11.4269,7.775,0.75,rack_inlet_temperature
row_3_rack11_h2,11.4269,7.775,1.13,rack_inlet_temperature
row_3_rack11_h3,11.4269,7.775,1.51,rack_inlet_temperature
row_3_rack12_h1,12.2962,7.775,0.75,rack_inlet_temperature
row_3_rack12_h2,12.2962,7.775,1.13,rack_inlet_temperature
row_3_rack12_h3,12.2962,7.775,1.51,rack_inlet_temperature
