node_index,y_m
0,0.000000
1,0.153333
2,0.306667
3,0.460000
4,0.613333
5,0.766667
6,0.920000
7,1.073333
8,1.226667
9,1.380000
10,1.533333
11,1.686667
12,1.840000
13,1.993333
14,2.146667
15,2.300000
16,2.350000
17,2.400000
18,2.450000
19,2.500000
20,2.550000
21,2.600000
22,2.650000
23,2.700000
24,2.750000
25,2.800000
26,2.850000
27,2.900000
28,3.066667
29,3.233333
30,3.400000
31,3.450000
32,3.500000
33,3.550000
34,3.600000
35,3.650000
36,3.700000
37,3.750000
38,3.800000
39,3.850000
40,3.900000
41,3.950000
42,4.000000
43,4.150000
44,4.225000
45,4.300000
46,4.375000
47,4.450000
48,4.525000
49,4.600000
50,4.675000
51,4.750000
52,4.900000
53,4.950000
54,5.000000
55,5.050000
56,5.100000
57,5.150000
58,5.200000
59,5.250000
60,5.300000
61,5.350000
62,5.400000
63,5.450000
64,5.500000
65,5.666667
66,5.833333
67,6.000000
68,6.050000
69,6.100000
70,6.150000
71,6.200000
72,6.250000
73,6.300000
74,6.350000
75,6.400000
76,6.450000
77,6.500000
78,6.550000
79,6.600000
80,6.750000
81,6.900000
82,7.050000
83,7.200000
84,7.350000
85,7.500000
86,7.550000
87,7.600000
88,7.650000
89,7.700000
90,7.750000
91,7.800000
92,7.850000
93,7.900000
94,7.950000
95,8.000000
96,8.050000
97,8.100000
98,8.266667
99,8.433333
100,8.600000
101,8.646154
102,8.692308
103,8.738462
104,8.784615
105,8.830769
106,8.876923
107,8.923077
108,8.969231
109,9.015385
110,9.061538
111,9.107692
112,9.153846
113,9.200000
114,9.350000
115,9.500000
116,9.650000
117,9.800000
118,9.950000
119,10.100000
120,10.146154
121,10.192308
122,10.238462
123,10.284615
124,10.330769
125,10.376923
126,10.423077
127,10.469231
128,10.515385
129,10.561538
130,10.607692
131,10.653846
132,10.700000
133,10.866667
134,11.033333
135,11.200000
136,11.246154
137,11.292308
138,11.338462
139,11.384615
140,11.430769
141,11.476923
142,11.523077
143,11.569231
144,11.615385
145,11.661538
146,11.707692
147,11.753846
148,11.800000
149,11.950000
150,12.016667
151,12.083333
152,12.150000
153,12.216667
154,12.283333
155,12.350000
156,12.416667
157,12.483333
158,12.550000
159,12.700000
160,12.746154
161,12.792308
162,12.838462
163,12.884615
164,12.930769
165,12.976923
166,13.023077
167,13.069231
168,13.115385
169,13.161538
170,13.207692
171,13.253846
172,13.300000
173,13.466667
174,13.633333
175,13.800000
176,13.846154
177,13.892308
178,13.938462
179,13.984615
180,14.030769
181,14.076923
182,14.123077
183,14.169231
184,14.215385
185,14.261538
186,14.307692
187,14.353846
188,14.400000
189,14.550000
190,14.700000
191,14.850000
192,15.000000
193,15.150000
194,15.300000
195,15.346154
196,15.392308
197,15.438462
198,15.484615
199,15.530769
200,15.576923
201,15.623077
202,15.669231
203,15.715385
204,15.761538
205,15.807692
206,15.853846
207,15.900000
208,16.066667
209,16.233333
210,16.400000
211,16.446154
212,16.492308
213,16.538462
214,16.584615
215,16.630769
216,16.676923
217,16.723077
218,16.769231
219,16.815385
220,16.861538
221,16.907692
222,16.953846
223,17.000000
224,17.150000
225,17.300000
226,17.450000
227,17.600000
228,17.750000
229,17.900000
230,17.946154
231,17.992308
232,18.038462
233,18.084615
234,18.130769
235,18.176923
236,18.223077
237,18.269231
238,18.315385
239,18.361538
240,18.407692
241,18.453846
242,18.500000
243,18.666667
244,18.833333
245,19.000000
246,19.046154
247,19.092308
248,19.138462
249,19.184615
250,19.230769
251,19.276923
252,19.323077
253,19.369231
254,19.415385
255,19.461538
256,19.507692
257,19.553846
258,19.600000
259,19.750000
260,19.816667
261,19.883333
262,19.950000
263,20.016667
264,20.083333
265,20.150000
266,20.216667
267,20.283333
268,20.350000
269,20.500000
270,20.546154
271,20.592308
272,20.638462
273,20.684615
274,20.730769
275,20.776923
276,20.823077
277,20.869231
278,20.915385
279,20.961538
280,21.007692
281,21.053846
282,21.100000
283,21.266667
284,21.433333
285,21.600000
286,21.646154
287,21.692308
288,21.738462
289,21.784615
290,21.830769
291,21.876923
292,21.923077
293,21.969231
294,22.015385
295,22.061538
296,22.107692
297,22.153846
298,22.200000
299,22.347368
300,22.494737
301,22.642105
302,22.789474
303,22.936842
304,23.084211
305,23.231579
306,23.378947
307,23.526316
308,23.673684
309,23.821053
310,23.968421
311,24.115789
312,24.263158
313,24.410526
314,24.557895
315,24.705263
316,24.852632
317,25.000000
