node_index,y_m
0,0.000000
1,0.400000
2,0.800000
3,1.200000
4,1.600000
5,2.000000
6,2.400000
7,2.533333
8,2.666667
9,2.800000
10,3.150000
11,3.500000
12,3.633333
13,3.766667
14,3.900000
15,4.250000
16,4.383333
17,4.516667
18,4.650000
19,5.000000
20,5.133333
21,5.266667
22,5.400000
23,5.750000
24,6.100000
25,6.233333
26,6.366667
27,6.500000
28,6.866667
29,7.233333
30,7.600000
31,7.733333
32,7.866667
33,8.000000
34,8.350000
35,8.700000
36,8.900000
37,9.100000
38,9.466667
39,9.833333
40,10.200000
41,10.400000
42,10.600000
43,10.950000
44,11.300000
45,11.500000
46,11.700000
47,12.050000
48,12.250000
49,12.450000
50,12.800000
51,13.000000
52,13.200000
53,13.550000
54,13.900000
55,14.100000
56,14.300000
57,14.666667
58,15.033333
59,15.400000
60,15.600000
61,15.800000
62,16.150000
63,16.500000
64,16.700000
65,16.900000
66,17.266667
67,17.633333
68,18.000000
69,18.200000
70,18.400000
71,18.750000
72,19.100000
73,19.300000
74,19.500000
75,19.850000
76,20.050000
77,20.250000
78,20.600000
79,20.800000
80,21.000000
81,21.350000
82,21.700000
83,21.900000
84,22.100000
85,22.514286
86,22.928571
87,23.342857
88,23.757143
89,24.171429
90,24.585714
91,25.000000
