node_index,x_m
0,0.000000
1,0.094167
2,0.188333
3,0.282500
4,0.376667
5,0.470833
6,0.565000
7,0.659167
8,0.753333
9,0.847500
10,0.941667
11,1.035833
12,1.130000
13,1.180000
14,1.280000
15,1.482000
16,1.684000
17,1.886000
18,2.088000
19,2.290000
20,2.492000
21,2.694000
22,2.896000
23,3.098000
24,3.300000
25,3.400000
26,3.500000
27,3.600000
28,3.700000
29,3.800000
30,3.900000
31,4.000000
32,4.100000
33,4.200000
34,4.300000
35,4.400000
36,4.500000
37,4.600000
38,4.700000
39,4.800000
40,4.900000
41,5.000000
42,5.100000
43,5.200000
44,5.300000
45,5.400000
46,5.500000
47,5.600000
48,5.700000
49,5.800000
50,5.900000
51,6.000000
52,6.100000
53,6.200000
54,6.300000
55,6.400000
56,6.500000
57,6.600000
58,6.700000
59,6.800000
60,6.900000
61,7.000000
62,7.100000
63,7.200000
64,7.300000
65,7.400000
66,7.500000
67,7.600000
68,7.700000
69,7.800000
70,7.900000
71,8.000000
72,8.100000
73,8.200000
74,8.300000
75,8.400000
76,8.500000
77,8.600000
78,8.700000
79,8.800000
80,8.900000
81,9.000000
82,9.100000
83,9.200000
84,9.300000
85,9.400000
86,9.500000
87,9.600000
88,9.700000
89,9.800000
90,9.900000
91,10.000000
92,10.100000
93,10.200000
94,10.300000
95,10.400000
96,10.500000
97,10.600000
98,10.700000
99,10.800000
100,10.900000
101,11.000000
102,11.100000
103,11.200000
104,11.300000
105,11.400000
106,11.500000
107,11.600000
108,11.700000
109,11.800000
110,11.900000
111,12.000000
112,12.100000
113,12.200000
114,12.300000
115,12.400000
116,12.500000
117,12.600000
118,12.700000
119,12.800000
120,12.900000
121,13.000000
122,13.100000
123,13.200000
124,13.300000
125,13.400000
126,13.500000
127,13.600000
128,13.700000
129,13.800000
130,13.900000
131,14.000000
132,14.100000
133,14.200000
134,14.300000
135,14.400000
136,14.500000
137,14.600000
138,14.700000
139,14.800000
140,14.900000
141,15.000000
142,15.100000
143,15.200000
144,15.300000
145,15.400000
146,15.500000
147,15.600000
148,15.700000
149,15.800000
150,15.900000
151,16.000000
152,16.100000
153,16.200000
154,16.300000
155,16.400000
156,16.500000
157,16.700000
158,16.900000
159,17.100000
160,17.300000
161,17.500000
162,17.700000
163,17.900000
164,18.100000
165,18.300000
