node_index,z_m
0,0.000000
1,0.050000
2,0.100000
3,0.150000
4,0.200000
5,0.250000
6,0.300000
7,0.350000
8,0.400000
9,0.450000
10,0.500000
11,0.550000
12,0.600000
13,0.650000
14,0.700000
15,0.750000
16,0.800000
17,0.850000
18,0.900000
19,0.950000
20,1.000000
21,1.050000
22,1.100000
23,1.150000
24,1.200000
25,1.250000
26,1.300000
27,1.350000
28,1.400000
29,1.450000
30,1.500000
31,1.550000
32,1.600000
33,1.650000
34,1.700000
35,1.750000
36,1.800000
37,1.850000
38,1.900000
39,1.950000
40,2.000000
41,2.028205
42,2.100000
43,2.150000
44,2.184615
45,2.262821
46,2.300000
47,2.341026
48,2.400000
49,2.497436
50,2.575641
51,2.653846
52,2.700000
53,2.732051
54,2.810256
55,2.888462
56,2.966667
57,3.044872
58,3.123077
59,3.201282
60,3.279487
61,3.357692
62,3.435897
63,3.514103
64,3.592308
65,3.670513
66,3.748718
67,3.780000
68,3.826923
69,3.880000
70,3.905128
71,3.950000
72,3.983333
73,4.012381
74,4.040000
75,4.070476
76,4.100000
77,4.128571
78,4.186667
79,4.217949
80,4.244762
81,4.296154
82,4.360952
83,4.419048
84,4.452564
85,4.530769
86,4.593333
87,4.651429
88,4.687179
89,4.765385
90,4.825714
91,4.883810
92,4.921795
93,5.000000
