id,x_m,y_m,z_m,type
row_1_rack01_h1,3.6,1.775,0.75,rack_inlet_temperature
row_1_rack01_h2,3.6,1.775,1.13,rack_inlet_temperature
row_1_rack01_h3,3.6,1.775,1.51,rack_inlet_temperature
row_1_rack02_h1,4.2,1.775,0.75,rack_inlet_temperature
row_1_rack02_h2,4.2,1.775,1.13,rack_inlet_temperature
row_1_rack02_h3,4.2,1.775,1.51,rack_inlet_temperature
row_1_rack03_h1,4.8,1.775,0.75,rack_inlet_temperature
row_1_rack03_h2,4.8,1.775,1.13,rack_inlet_temperature
row_1_rack03_h3,4.8,1.775,1.51,rack_inlet_temperature
row_1_rack04_h1,5.4,1.775,0.75,rack_inlet_temperature
row_1_rack04_h2,5.4,1.775,1.13,rack_inlet_temperature
row_1_rack04_h3,5.4,1.775,1.51,rack_inlet_temperature
row_1_rack05_h1,6.0,1.775,0.75,rack_inlet_temperature
row_1_rack05_h2,6.0,1.775,1.13,rack_inlet_temperature
row_1_rack05_h3,6.0,1.775,1.51,rack_inlet_temperature
row_1_rack06_h1,6.6,1.775,0.75,rack_inlet_temperature
row_1_rack06_h2,6.6,1.775,1.13,rack_inlet_temperature
row_1_rack06_h3,6.6,1.775,1.51,rack_inlet_temperature
row_1_rack07_h1,7.2,1.775,0.75,rack_inlet_temperature
row_1_rack07_h2,7.2,1.775,1.13,rack_inlet_temperature
row_1_rack07_h3,7.2,1.775,1.51,rack_inlet_temperature
row_1_rack08_h1,7.8,1.775,0.75,rack_inlet_temperature
row_1_rack08_h2,7.8,1.775,1.13,rack_inlet_temperature
row_1_rack08_h3,7.8,1.775,1.51,rack_inlet_temperature
row_1_rack09_h1,8.4,1.775,0.75,rack_inlet_temperature
row_1_rack09_h2,8.4,1.775,1.13,rack_inlet_temperature
row_1_rack09_h3,8.4,1.775,1.51,rack_inlet_temperature
row_1_rack10_h1,9.0,1.775,0.75,rack_inlet_temperature
row_1_rack10_h2,9.0,1.775,1.13,rack_inlet_temperature
row_1_rack10_h3,9.0,1.775,1.51,rack_inlet_temperature
row_1_rack11_h1,9.6,1.775,0.75,rack_inlet_temperature
row_1_rack11_h2,9.6,1.775,1.13,rack_inlet_temperature
row_1_rack11_h3,9.6,1.775,1.51,rack_inlet_temperature
row_1_rack12_h1,10.2,1.775,0.75,rack_inlet_temperature
row_1_rack12_h2,10.2,1.775,1.13,rack_inlet_temperature
row_1_rack12_h3,10.2,1.775,1.51,rack_inlet_temperature
row_1_rack13_h1,10.8,1.775,0.75,rack_inlet_temperature
row_1_rack13_h2,10.8,1.775,1.13,rack_inlet_temperature
row_1_rack13_h3,10.8,1.775,1.51,rack_inlet_temperature
row_1_rack14_h1,11.4,1.775,0.75,rack_inlet_temperature
row_1_rack14_h2,11.4,1.775,1.13,rack_inlet_temperature
row_1_rack14_h3,11.4,1.775,1.51,rack_inlet_temperature
row_1_rack15_h1,12.0,1.775,0.75,rack_inlet_temperature
row_1_rack15_h2,12.0,1.775,1.13,rack_inlet_temperature
row_1_rack15_h3,12.0,1.775,1.51,rack_inlet_temperature
row_1_rack16_h1,12.6,1.775,0.75,rack_inlet_temperature
row_1_rack16_h2,12.6,1.775,1.13,rack_inlet_temperature
row_1_rack16_h3,12.6,1.775,1.51,rack_inlet_temperature
row_1_rack17_h1,13.2,1.775,0.75,rack_inlet_temperature
row_1_rack17_h2,13.2,1.775,1.13,rack_inlet_temperature
row_1_rack17_h3,13.2,1.775,1.51,rack_inlet_temperature
row_1_rack18_h1,13.8,1.775,0.75,rack_inlet_temperature
row_1_rack18_h2,13.8,1.775,1.13,rack_inlet_temperature
row_1_rack18_h3,13.8,1.775,1.51,rack_inlet_temperature
row_1_rack19_h1,14.4,1.775,0.75,rack_inlet_temperature
row_1_rack19_h2,14.4,1.775,1.13,rack_inlet_temperature
row_1_rack19_h3,14.4,1.775,1.51,rack_inlet_temperature
row_1_rack20_h1,15.0,1.775,0.75,rack_inlet_temperature
row_1_rack20_h2,15.0,1.775,1.13,rack_inlet_temperature
row_1_rack20_h3,15.0,1.775,1.51,rack_inlet_temperature
row_1_rack21_h1,15.6,1.775,0.75,rack_inlet_temperature
row_1_rack21_h2,15.6,1.775,1.13,rack_inlet_temperature
row_1_rack21_h3,15.6,1.775,1.51,rack_inlet_temperature
row_1_rack22_h1,16.2,1.775,0.75,rack_inlet_temperature
row_1_rack22_h2,16.2,1.775,1.13,rack_inlet_temperature
row_1_rack22_h3,16.2,1.775,1.51,rack_inlet_temperature
row_2_rack01_h1,3.6,5.425,0.75,rack_inlet_temperature
row_2_rack01_h2,3.6,5.425,1.13,rack_inlet_temperature
row_2_rack01_h3,3.6,5.425,1.51,rack_inlet_temperature
row_2_rack02_h1,4.2,5.425,0.75,rack_inlet_temperature
row_2_rack02_h2,4.2,5.425,1.13,rack_inlet_temperature
row_2_rack02_h3,4.2,5.425,1.51,rack_inlet_temperature
row_2_rack03_h1,4.8,5.425,0.75,rack_inlet_temperature
row_2_rack03_h2,4.8,5.425,1.13,rack_inlet_temperature
row_2_rack03_h3,4.8,5.425,1.51,rack_inlet_temperature
row_2_rack04_h1,5.4,5.425,0.75,rack_inlet_temperature
row_2_rack04_h2,5.4,5.425,1.13,rack_inlet_temperature
row_2_rack04_h3,5.4,5.425,1.51,rack_inlet_temperature
row_2_rack05_h1,6.0,5.425,0.75,rack_inlet_temperature
row_2_rack05_h2,6.0,5.425,1.13,rack_inlet_temperature
row_2_rack05_h3,6.0,5.425,1.51,rack_inlet_temperature
row_2_rack06_h1,6.6,5.425,0.75,rack_inlet_temperature
row_2_rack06_h2,6.6,5.425,1.13,rack_inlet_temperature
row_2_rack06_h3,6.6,5.425,1.51,rack_inlet_temperature
row_2_rack07_h1,7.2,5.425,0.75,rack_inlet_temperature
row_2_rack07_h2,7.2,5.425,1.13,rack_inlet_temperature
row_2_rack07_h3,7.2,5.425,1.51,rack_inlet_temperature
row_2_rack08_h1,7.8,5.425,0.75,rack_inlet_temperature
row_2_rack08_h2,7.8,5.425,1.13,rack_inlet_temperature
row_2_rack08_h3,7.8,5.425,1.51,rack_inlet_temperature
row_2_rack09_h1,8.4,5.425,0.75,rack_inlet_temperature
row_2_rack09_h2,8.4,5.425,1.13,rack_inlet_temperature
row_2_rack09_h3,8.4,5.425,1.51,rack_inlet_temperature
row_2_rack10_h1,9.0,5.425,0.75,rack_inlet_temperature
row_2_rack10_h2,9.0,5.425,1.13,rack_inlet_temperature
row_2_rack10_h3,9.0,5.425,1.51,rack_inlet_temperature
row_2_rack11_h1,9.6,5.425,0.75,rack_inlet_temperature
row_2_rack11_h2,9.6,5.425,1.13,rack_inlet_temperature
row_2_rack11_h3,9.6,5.425,1.51,rack_inlet_temperature
row_2_rack12_h1,10.2,5.425,0.75,rack_inlet_temperature
row_2_rack12_h2,10.2,5.425,1.13,rack_inlet_temperature
row_2_rack12_h3,10.2,5.425,1.51,rack_inlet_temperature
row_2_rack13_h1,10.8,5.425,0.75,rack_inlet_temperature
row_2_rack13_h2,10.8,5.425,1.13,rack_inlet_temperature
row_2_rack13_h3,10.8,5.425,1.51,rack_inlet_temperature
row_2_rack14_h1,11.4,5.425,0.75,rack_inlet_temperature
row_2_rack14_h2,11.4,5.425,1.13,rack_inlet_temperature
row_2_rack14_h3,11.4,5.425,1.51,rack_inlet_temperature
row_2_rack15_h1,12.0,5.425,0.75,rack_inlet_temperature
row_2_rack15_h2,12.0,5.425,1.13,rack_inlet_temperature
row_2_rack15_h3,12.0,5.425,1.51,rack_inlet_temperature
row_2_rack16_h1,12.6,5.425,0.75,rack_inlet_temperature
row_2_rack16_h2,12.6,5.425,1.13,rack_inlet_temperature
row_2_rack16_h3,12.6,5.425,1.51,rack_inlet_temperature
row_2_rack17_h1,13.2,5.425,0.75,rack_inlet_temperature
row_2_rack17_h2,13.2,5.425,1.13,rack_inlet_temperature
row_2_rack17_h3,13.2,5.425,1.51,rack_inlet_temperature
row_2_rack18_h1,13.8,5.425,0.75,rack_inlet_temperature
row_2_rack18_h2,13.8,5.425,1.13,rack_inlet_temperature
row_2_rack18_h3,13.8,5.425,1.51,rack_inlet_temperature
row_2_rack19_h1,14.4,5.425,0.75,rack_inlet_temperature
row_2_rack19_h2,14.4,5.425,1.13,rack_inlet_temperature
row_2_rack19_h3,14.4,5.425,1.51,rack_inlet_temperature
row_2_rack20_h1,15.0,5.425,0.75,rack_inlet_temperature
row_2_rack20_h2,15.0,5.425,1.13,rack_inlet_temperature
row_2_rack20_h3,15.0,5.425,1.51,rack_inlet_temperature
row_2_rack21_h1,15.6,5.425,0.75,rack_inlet_temperature
row_2_rack21_h2,15.6,5.425,1.13,rack_inlet_temperature
row_2_rack21_h3,15.6,5.425,1.51,rack_inlet_temperature
row_2_rack22_h1,16.2,5.425,0.75,rack_inlet_temperature
row_2_rack22_h2,16.2,5.425,1.13,rack_inlet_temperature
row_2_rack22_h3,16.2,5.425,1.51,rack_inlet_temperature
row_3_rack01_h1,3.6,6.575,0.75,rack_inlet_temperature
row_3_rack01_h2,3.6,6.575,1.13,rack_inlet_temperature
row_3_rack01_h3,3.6,6.575,1.51,rack_inlet_temperature
row_3_rack02_h1,4.2,6.575,0.75,rack_inlet_temperature
row_3_rack02_h2,4.2,6.575,1.13,rack_inlet_temperature
row_3_rack02_h3,4.2,6.575,1.51,rack_inlet_temperature
row_3_rack03_h1,4.8,6.575,0.75,rack_inlet_temperature
row_3_rack03_h2,4.8,6.575,1.13,rack_inlet_temperature
row_3_rack03_h3,4.8,6.575,1.51,rack_inlet_temperature
row_3_rack04_h1,5.4,6.575,0.75,rack_inlet_temperature
row_3_rack04_h2,5.4,6.575,1.13,rack_inlet_temperature
row_3_rack04_h3,5.4,6.575,1.51,rack_inlet_temperature
row_3_rack05_h1,6.0,6.575,0.75,rack_inlet_temperature
row_3_rack05_h2,6.0,6.575,1.13,rack_inlet_temperature
row_3_rack05_h3,6.0,6.575,1.51,rack_inlet_temperature
row_3_rack08_h1,7.8,6.575,0.75,rack_inlet_temperature
row_3_rack08_h2,7.8,6.575,1.13,rack_inlet_temperature
row_3_rack08_h3,7.8,6.575,1.51,rack_inlet_temperature
row_3_rack09_h1,8.4,6.575,0.75,rack_inlet_temperature
row_3_rack09_h2,8.4,6.575,1.13,rack_inlet_temperature
row_3_rack09_h3,8.4,6.575,1.51,rack_inlet_temperature
row_3_rack10_h1,9.0,6.575,0.75,rack_inlet_temperature
row_3_rack10_h2,9.0,6.575,1.13,rack_inlet_temperature
row_3_rack10_h3,9.0,6.575,1.51,rack_inlet_temperature
row_3_rack11_h1,9.6,6.575,0.75,rack_inlet_temperature
row_3_rack11_h2,9.6,6.575,1.13,rack_inlet_temperature
row_3_rack11_h3,9.6,6.575,1.51,rack_inlet_temperature
row_3_rack12_h1,10.2,6.575,0.75,rack_inlet_temperature
row_3_rack12_h2,10.2,6.575,1.13,rack_inlet_temperature
row_3_rack12_h3,10.2,6.575,1.51,rack_inlet_temperature
row_3_rack13_h1,10.8,6.575,0.75,rack_inlet_temperature
row_3_rack13_h2,10.8,6.575,1.13,rack_inlet_temperature
row_3_rack13_h3,10.8,6.575,1.51,rack_inlet_temperature
row_3_rack14_h1,11.4,6.575,0.75,rack_inlet_temperature
row_3_rack14_h2,11.4,6.575,1.13,rack_inlet_temperature
row_3_rack14_h3,11.4,6.575,1.51,rack_inlet_temperature
row_3_rack15_h1,12.0,6.575,0.75,rack_inlet_temperature
row_3_rack15_h2,12.0,6.575,1.13,rack_inlet_temperature
row_3_rack15_h3,12.0,6.575,1.51,rack_inlet_temperature
row_3_rack16_h1,12.6,6.575,0.75,rack_inlet_temperature
row_3_rack16_h2,12.6,6.575,1.13,rack_inlet_temperature
row_3_rack16_h3,12.6,6.575,1.51,rack_inlet_temperature
row_3_rack17_h1,13.2,6.575,0.75,rack_inlet_temperature
row_3_rack17_h2,13.2,6.575,1.13,rack_inlet_temperature
row_3_rack17_h3,13.2,6.575,1.51,rack_inlet_temperature
row_3_rack21_h1,15.6,6.575,0.75,rack_inlet_temperature
row_3_rack21_h2,15.6,6.575,1.13,rack_inlet_temperature
row_3_rack21_h3,15.6,6.575,1.51,rack_inlet_temperature
row_3_rack22_h1,16.2,6.575,0.75,rack_inlet_temperature
row_3_rack22_h2,16.2,6.575,1.13,rack_inlet_temperature
row_3_rack22_h3,16.2,6.575,1.51,rack_inlet_temperature
row_4_rack01_h1,3.6,10.225,0.75,rack_inlet_temperature
row_4_rack01_h2,3.6,10.225,1.13,rack_inlet_temperature
row_4_rack01_h3,3.6,10.225,1.51,rack_inlet_temperature
row_4_rack02_h1,4.2,10.225,0.75,rack_inlet_temperature
row_4_rack02_h2,4.2,10.225,1.13,rack_inlet_temperature
row_4_rack02_h3,4.2,10.225,1.51,rack_inlet_temperature
row_4_rack03_h1,4.8,10.225,0.75,rack_inlet_temperature
row_4_rack03_h2,4.8,10.225,1.13,rack_inlet_temperature
row_4_rack03_h3,4.8,10.225,1.51,rack_inlet_temperature
row_4_rack04_h1,5.4,10.225,0.75,rack_inlet_temperature
row_4_rack04_h2,5.4,10.225,1.13,rack_inlet_temperature
row_4_rack04_h3,5.4,10.225,1.51,rack_inlet_temperature
row_4_rack05_h1,6.0,10.225,0.75,rack_inlet_temperature
row_4_rack05_h2,6.0,10.225,1.13,rack_inlet_temperature
row_4_rack05_h3,6.0,10.225,1.51,rack_inlet_temperature
row_4_rack06_h1,6.6,10.225,0.75,rack_inlet_temperature
row_4_rack06_h2,6.6,10.225,1.13,rack_inlet_temperature
row_4_rack06_h3,6.6,10.225,1.51,rack_inlet_temperature
row_4_rack07_h1,7.2,10.225,0.75,rack_inlet_temperature
row_4_rack07_h2,7.2,10.225,1.13,rack_inlet_temperature
row_4_rack07_h3,7.2,10.225,1.51,rack_inlet_temperature
row_4_rack08_h1,7.8,10.225,0.75,rack_inlet_temperature
