node_index,x_m
0,0.000000
1,0.075000
2,0.150000
3,0.225000
4,0.300000
5,0.454167
6,0.608333
7,0.762500
8,0.916667
9,1.070833
10,1.225000
11,1.379167
12,1.533333
13,1.687500
14,1.841667
15,1.995833
16,2.150000
17,2.224839
18,2.299677
19,2.374516
20,2.449355
21,2.524194
22,2.599032
23,2.673871
24,2.748710
25,2.823548
26,2.898387
27,2.973226
28,3.048065
29,3.122903
30,3.197742
31,3.272581
32,3.347419
33,3.422258
34,3.497097
35,3.571935
36,3.646774
37,3.721613
38,3.796452
39,3.871290
40,3.946129
41,4.020968
42,4.095806
43,4.170645
44,4.245484
45,4.320323
46,4.395161
47,4.470000
48,4.544839
49,4.619677
50,4.694516
51,4.769355
52,4.844194
53,4.919032
54,4.993871
55,5.068710
56,5.143548
57,5.218387
58,5.293226
59,5.368065
60,5.442903
61,5.517742
62,5.592581
63,5.667419
64,5.742258
65,5.817097
66,5.891935
67,5.966774
68,6.041613
69,6.116452
70,6.191290
71,6.266129
72,6.340968
73,6.415806
74,6.490645
75,6.565484
76,6.640323
77,6.715161
78,6.790000
79,6.864839
80,6.939677
81,7.014516
82,7.089355
83,7.164194
84,7.239032
85,7.313871
86,7.388710
87,7.463548
88,7.538387
89,7.613226
90,7.688065
91,7.762903
92,7.837742
93,7.912581
94,7.987419
95,8.062258
96,8.137097
97,8.211935
98,8.286774
99,8.361613
100,8.436452
101,8.511290
102,8.586129
103,8.660968
104,8.735806
105,8.810645
106,8.885484
107,8.960323
108,9.035161
109,9.110000
110,9.184839
111,9.259677
112,9.334516
113,9.409355
114,9.484194
115,9.559032
116,9.633871
117,9.708710
118,9.783548
119,9.858387
120,9.933226
121,10.008065
122,10.082903
123,10.157742
124,10.232581
125,10.307419
126,10.382258
127,10.457097
128,10.531935
129,10.606774
130,10.681613
131,10.756452
132,10.831290
133,10.906129
134,10.980968
135,11.055806
136,11.130645
137,11.205484
138,11.280323
139,11.355161
140,11.430000
141,11.504839
142,11.579677
143,11.654516
144,11.729355
145,11.804194
146,11.879032
147,11.953871
148,12.028710
149,12.103548
150,12.178387
151,12.253226
152,12.328065
153,12.402903
154,12.477742
155,12.552581
156,12.627419
157,12.702258
158,12.777097
159,12.851935
160,12.926774
161,13.001613
162,13.076452
163,13.151290
164,13.226129
165,13.300968
166,13.375806
167,13.450645
168,13.525484
169,13.600323
170,13.675161
171,13.750000
172,13.908333
173,14.066667
174,14.225000
175,14.383333
176,14.541667
177,14.700000
178,14.760000
179,14.820000
180,14.880000
181,14.940000
182,15.000000
