node_index,y_m
0,0.000000
1,0.153571
2,0.307143
3,0.460714
4,0.614286
5,0.767857
6,0.921429
7,1.075000
8,1.228571
9,1.382143
10,1.535714
11,1.689286
12,1.842857
13,1.996429
14,2.150000
15,2.188462
16,2.226923
17,2.265385
18,2.300000
19,2.342308
20,2.380769
21,2.419231
22,2.450000
23,2.496154
24,2.534615
25,2.573077
26,2.600000
27,2.650000
28,2.700000
29,2.750000
30,2.800000
31,2.850000
32,2.900000
33,3.066667
34,3.233333
35,3.400000
36,3.450000
37,3.500000
38,3.550000
39,3.600000
40,3.650000
41,3.690000
42,3.730000
43,3.770000
44,3.800000
45,3.850000
46,3.890000
47,3.930000
48,3.950000
49,3.970000
50,4.000000
51,4.046667
52,4.090000
53,4.120000
54,4.170000
55,4.193333
56,4.250000
57,4.290000
58,4.330000
59,4.370000
60,4.410000
61,4.450000
62,4.486667
63,4.530000
64,4.560000
65,4.610000
66,4.633333
67,4.690000
68,4.730000
69,4.770000
70,4.810000
71,4.850000
72,4.890000
73,4.926667
74,4.950000
75,4.970000
76,5.000000
77,5.050000
78,5.090000
79,5.130000
80,5.150000
81,5.200000
82,5.250000
83,5.300000
84,5.350000
85,5.400000
86,5.450000
87,5.500000
88,5.666667
89,5.833333
90,6.000000
91,6.050000
92,6.100000
93,6.150000
94,6.200000
95,6.250000
96,6.288462
97,6.326923
98,6.350000
99,6.400000
100,6.442308
101,6.480769
102,6.519231
103,6.550000
104,6.596154
105,6.634615
106,6.673077
107,6.711538
108,6.750000
109,6.900000
110,7.050000
111,7.200000
112,7.350000
113,7.388462
114,7.426923
115,7.465385
116,7.500000
117,7.542308
118,7.580769
119,7.619231
120,7.650000
121,7.696154
122,7.734615
123,7.773077
124,7.800000
125,7.850000
126,7.900000
127,7.950000
128,8.000000
129,8.050000
130,8.100000
131,8.266667
132,8.433333
133,8.600000
134,8.646154
135,8.692308
136,8.738462
137,8.784615
138,8.830769
139,8.876923
140,8.923077
141,8.967073
142,9.006098
143,9.045122
144,9.084146
145,9.107692
146,9.153846
147,9.200000
148,9.240244
149,9.279268
150,9.318293
151,9.357317
152,9.396341
153,9.435366
154,9.474390
155,9.513415
156,9.552439
157,9.591463
158,9.630488
159,9.669512
160,9.708537
161,9.747561
162,9.786585
163,9.825610
164,9.864634
165,9.903659
166,9.942683
167,9.981707
168,10.020732
169,10.059756
170,10.098780
171,10.137805
172,10.176829
173,10.215854
174,10.238462
175,10.284615
176,10.330769
177,10.371951
178,10.410976
179,10.450000
180,10.515385
181,10.561538
182,10.607692
183,10.653846
184,10.700000
185,10.866667
186,11.033333
187,11.200000
188,11.246154
189,11.292308
190,11.338462
191,11.384615
192,11.430769
193,11.476923
194,11.523077
195,11.565385
196,11.603846
197,11.642308
198,11.680769
199,11.707692
200,11.753846
201,11.796154
202,11.834615
203,11.873077
204,11.911538
205,11.950000
206,11.993333
207,12.066667
208,12.140000
209,12.213333
210,12.286667
211,12.360000
212,12.433333
213,12.506667
214,12.550000
215,12.580000
216,12.626923
217,12.653333
218,12.700000
219,12.726667
220,12.780769
221,12.819231
222,12.857692
223,12.884615
224,12.930769
225,12.973077
226,13.011538
227,13.050000
228,13.115385
229,13.161538
230,13.207692
231,13.253846
232,13.300000
233,13.466667
234,13.633333
235,13.800000
236,13.846154
237,13.892308
238,13.938462
239,13.984615
240,14.030769
241,14.076923
242,14.123077
243,14.167073
244,14.206098
245,14.245122
246,14.284146
247,14.307692
248,14.353846
249,14.400000
250,14.440244
251,14.479268
252,14.518293
253,14.557317
254,14.596341
255,14.635366
256,14.674390
257,14.713415
258,14.752439
259,14.791463
260,14.830488
261,14.869512
262,14.908537
263,14.947561
264,14.986585
265,15.025610
266,15.064634
267,15.103659
268,15.142683
269,15.181707
270,15.220732
271,15.259756
272,15.298780
273,15.337805
274,15.376829
275,15.415854
276,15.438462
277,15.484615
278,15.530769
279,15.571951
280,15.610976
281,15.650000
282,15.715385
283,15.761538
284,15.807692
285,15.853846
286,15.900000
287,16.066667
288,16.233333
289,16.400000
290,16.446154
291,16.492308
292,16.538462
293,16.584615
294,16.630769
295,16.676923
296,16.723077
297,16.765385
298,16.803846
299,16.842308
300,16.880769
301,16.907692
302,16.953846
303,16.996154
304,17.034615
305,17.073077
306,17.111538
307,17.150000
308,17.300000
309,17.450000
310,17.600000
311,17.750000
312,17.788462
313,17.826923
314,17.865385
315,17.900000
316,17.942308
317,17.980769
318,18.019231
319,18.057692
320,18.084615
321,18.130769
322,18.173077
323,18.211538
324,18.250000
325,18.315385
326,18.361538
327,18.407692
328,18.453846
329,18.500000
330,18.666667
331,18.833333
332,19.000000
333,19.046154
334,19.092308
335,19.138462
336,19.184615
337,19.230769
338,19.276923
339,19.323077
340,19.367073
341,19.406098
342,19.445122
343,19.484146
344,19.507692
345,19.553846
346,19.600000
347,19.640244
348,19.679268
349,19.718293
350,19.757317
351,19.793333
352,19.835366
353,19.866667
354,19.913415
355,19.940000
356,19.991463
357,20.013333
358,20.069512
359,20.108537
360,20.147561
361,20.186585
362,20.225610
363,20.264634
364,20.303659
365,20.342683
366,20.380000
367,20.420732
368,20.453333
369,20.498780
370,20.526667
371,20.576829
372,20.600000
373,20.638462
374,20.684615
375,20.730769
376,20.771951
377,20.810976
378,20.850000
379,20.915385
380,20.961538
381,21.007692
382,21.053846
383,21.100000
384,21.266667
385,21.433333
386,21.600000
387,21.646154
388,21.692308
389,21.738462
390,21.784615
391,21.830769
392,21.876923
393,21.923077
394,21.965385
395,22.003846
396,22.042308
397,22.080769
398,22.107692
399,22.153846
400,22.196154
401,22.234615
402,22.273077
403,22.311538
404,22.350000
405,22.497222
406,22.644444
407,22.791667
408,22.938889
409,23.086111
410,23.233333
411,23.380556
412,23.527778
413,23.675000
414,23.822222
415,23.969444
416,24.116667
417,24.263889
418,24.411111
419,24.558333
420,24.705556
421,24.852778
422,25.000000
